ROMANEIO;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
TP;TIPO;PRODUTO;DESCRICAO;FAMILIA;NUM.PEDIDO;ROMANEIO;EMISSAO;ENTREGA;ITEM;SALDO;COD.CLIENTE;CLIENTE;REDE;ESTADO;MUNICIPIO;VENDEDOR;TIPO.FRETE;RESERVA;STATUS;ROTA;PES0.BRUTO;TP.VEICULO;OBS.PEDIDO;OBS.SOBEL;OBS.PROTHEUS
PVS;PV;1401.19.24X500;LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML; 2001; 045081; ;19/09/2018;01/11/2018; 01;1500; 006937;TENDA ATACADO LTDA;TENDA;SP;GUARULHOS;ANDERSON DE OLIVEIRA;CIF;0;ADM. PEDIDO;GUARULHOS - SP;19.620,00;CARRETA ROMEU & JULIETA;"PRAZO PAGAMENTO 60 DDE
RECEBIMENTO DAS 5:00 AS 10:00
6000722865, COPIA 044518.";TAXA DESCARGA 12,00 P/ PALETE;CLIENTE AGENDADO
PVS;PV;1401.21.24X500;LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML; 2001; 045081; ;19/09/2018;01/11/2018; 02;180; 006937;TENDA ATACADO LTDA;TENDA;SP;GUARULHOS;ANDERSON DE OLIVEIRA;CIF;0;ADM. PEDIDO;GUARULHOS - SP;2.354,40;CARRETA ROMEU & JULIETA;"PRAZO PAGAMENTO 60 DDE
RECEBIMENTO DAS 5:00 AS 10:00
6000722865, COPIA 044518.";TAXA DESCARGA 12,00 P/ PALETE;CLIENTE AGENDADO
PVS;PV;1001.01.12X01L;AGUA SANITARIA SUPREMA-12X01L; 4001; 045083; ;19/09/2018;26/09/2018; 01;2; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;2;LIB P/ GERAR ROM;VALENCA - RJ;26,76;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1201.11.06X02L;AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L; 1001; 045083; ;19/09/2018;26/09/2018; 02;4; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;4;LIB P/ GERAR ROM;VALENCA - RJ;52,2;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1201.14.06X02L;AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L; 1001; 045083; ;19/09/2018;26/09/2018; 03;4; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;4;LIB P/ GERAR ROM;VALENCA - RJ;52,2;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045083; ;19/09/2018;26/09/2018; 04;2; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;2;LIB P/ GERAR ROM;VALENCA - RJ;25,92;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045083; ;19/09/2018;26/09/2018; 05;3; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;3;LIB P/ GERAR ROM;VALENCA - RJ;38,88;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045083; ;19/09/2018;26/09/2018; 06;2; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;2;LIB P/ GERAR ROM;VALENCA - RJ;26,34;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1401.20.24X500;LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML; 2001; 045083; ;19/09/2018;26/09/2018; 07;1; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;1;LIB P/ GERAR ROM;VALENCA - RJ;13,08;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1401.21.24X500;LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML; 2001; 045083; ;19/09/2018;26/09/2018; 08;3; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;3;LIB P/ GERAR ROM;VALENCA - RJ;39,24;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1401.22.24X500;LAVA LOUCAS SUPREMA NEUTRO-24X500ML; 2001; 045083; ;19/09/2018;26/09/2018; 09;3; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;3;LIB P/ GERAR ROM;VALENCA - RJ;39,24;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1501.24.12X01L;LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L; 1001; 045083; ;19/09/2018;26/09/2018; 10;1; 015553;ORGANIZACOES REUNIDAS LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;1;LIB P/ GERAR ROM;VALENCA - RJ;13,2;TRUCK;;ENTREGAR NO REDESPACHO;HORARIO DE ALMOCO 12:00 AS 13:00
PVS;PV;1001.01.12X01L;AGUA SANITARIA SUPREMA-12X01L; 4001; 045154; ;20/09/2018;27/09/2018; 01;10; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;133,8;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1201.11.06X02L;AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L; 1001; 045154; ;20/09/2018;27/09/2018; 02;5; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;65,25;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1201.12.06X02L;AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X2L; 1001; 045154; ;20/09/2018;27/09/2018; 03;3; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;39,15;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1201.13.06X02L;AMAC.SUPREMA-LA FELICITA-AMARELO-06X2L; 1001; 045154; ;20/09/2018;27/09/2018; 04;3; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;39,15;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1201.14.06X02L;AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L; 1001; 045154; ;20/09/2018;27/09/2018; 05;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,2;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
